Timestamp,What's your level of interest for the following areas of Data Science? [Data Visualization],What's your level of interest for the following areas of Data Science? [Machine Learning],What's your level of interest for the following areas of Data Science? [Data Analysis / Statistics],What's your level of interest for the following areas of Data Science? [Big Data (Spark / Hadoop)],What's your level of interest for the following areas of Data Science? [Data Journalism],What's your level of interest for the following areas of Data Science? [Deep Learning]
2017/10/18 3:19:45 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:19:47 PM MDT,Somewhat interested,Not interested,Not interested,Not interested,Not interested,Somewhat interested
2017/10/18 3:20:21 PM MDT,Not interested,Very interested,Not interested,Not interested,Not interested,Very interested
2017/10/18 3:20:33 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 3:21:20 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 3:21:34 PM MDT,Very interested,Not interested,Very interested,Not interested,Not interested,Not interested
2017/10/18 3:21:40 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 3:22:22 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:22:27 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:23:04 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 3:23:29 PM MDT,,Very interested,Very interested,,,
2017/10/18 3:23:45 PM MDT,Somewhat interested,Somewhat interested,Not interested,Not interested,Somewhat interested,Very interested
2017/10/18 3:23:50 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:24:02 PM MDT,Very interested,Very interested,Not interested,Very interested,Very interested,Very interested
2017/10/18 3:25:09 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:25:10 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 3:25:13 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:25:41 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 3:25:41 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:27:24 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:27:50 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/18 3:28:45 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:29:03 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:29:08 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Not interested
2017/10/18 3:30:06 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:30:12 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 3:30:59 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 3:31:06 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:31:34 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:31:37 PM MDT,,Very interested,,Very interested,,Very interested
2017/10/18 3:31:48 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:32:02 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:32:17 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 3:32:18 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:33:35 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 3:33:39 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:34:24 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:34:37 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Not interested
2017/10/18 3:35:37 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 3:36:05 PM MDT,Not interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:36:10 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 3:37:16 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 3:37:23 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 3:37:37 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:37:48 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 3:37:56 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 3:38:16 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:38:34 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 3:38:35 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 3:38:36 PM MDT,Not interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 3:38:36 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 3:40:23 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 3:41:01 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 3:41:04 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested
2017/10/18 3:41:14 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 3:41:32 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:41:38 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:41:53 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Not interested,Not interested
2017/10/18 3:42:06 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:42:19 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Somewhat interested
2017/10/18 3:43:02 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 3:44:18 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 3:45:15 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 3:45:18 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:45:28 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:45:31 PM MDT,Not interested,Not interested,Not interested,Very interested,Not interested,Somewhat interested
2017/10/18 3:45:46 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 3:45:48 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 3:46:02 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 3:46:04 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 3:47:39 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Not interested
2017/10/18 3:48:06 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 3:48:25 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:48:45 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:49:05 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 3:49:18 PM MDT,Not interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested,Somewhat interested
2017/10/18 3:49:42 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:50:01 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 3:50:06 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 3:50:10 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 3:51:27 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 3:51:31 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 3:51:35 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 3:51:35 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:53:02 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:53:36 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:53:38 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 3:53:50 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:53:57 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Not interested
2017/10/18 3:54:05 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:55:24 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:55:39 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 3:55:46 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Not interested
2017/10/18 3:55:50 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 3:56:34 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 3:57:23 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Not interested
2017/10/18 3:57:40 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 3:58:05 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 3:58:22 PM MDT,Very interested,Very interested,Very interested,Very interested,,Very interested
2017/10/18 4:00:47 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 4:00:59 PM MDT,Very interested,Very interested,Not interested,Very interested,Not interested,Very interested
2017/10/18 4:01:01 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 4:01:58 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:02:12 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:02:13 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/18 4:02:43 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 4:02:47 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/18 4:02:52 PM MDT,Not interested,Not interested,Very interested,Very interested,Not interested,Not interested
2017/10/18 4:03:01 PM MDT,Very interested,Very interested,Very interested,Very interested,,Very interested
2017/10/18 4:03:03 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested
2017/10/18 4:04:59 PM MDT,Not interested,Not interested,Not interested,Not interested,Not interested,Not interested
2017/10/18 4:05:29 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 4:05:59 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 4:06:22 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 4:07:00 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 4:07:21 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:08:05 PM MDT,,,Very interested,Very interested,,
2017/10/18 4:08:31 PM MDT,Very interested,Very interested,Very interested,Not interested,Very interested,Somewhat interested
2017/10/18 4:08:32 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 4:08:36 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 4:09:22 PM MDT,Very interested,Very interested,Very interested,Not interested,Somewhat interested,Somewhat interested
2017/10/18 4:10:18 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:11:26 PM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Not interested
2017/10/18 4:12:23 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Very interested,Very interested
2017/10/18 4:13:40 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 4:13:54 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 4:13:57 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:14:58 PM MDT,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 4:15:29 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 4:16:38 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:17:33 PM MDT,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/18 4:18:08 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 4:19:54 PM MDT,Very interested,Very interested,Somewhat interested,,,Very interested
2017/10/18 4:20:41 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 4:20:55 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 4:22:25 PM MDT,Somewhat interested,Somewhat interested,Very interested,Not interested,Somewhat interested,Not interested
2017/10/18 4:23:08 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 4:23:45 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:23:48 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:24:07 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 4:24:24 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 4:25:30 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 4:25:46 PM MDT,Very interested,Very interested,Very interested,Not interested,Not interested,Very interested
2017/10/18 4:27:18 PM MDT,Somewhat interested,,Very interested,Somewhat interested,Somewhat interested,Not interested
2017/10/18 4:27:42 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 4:30:52 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:31:19 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 4:32:40 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Somewhat interested
2017/10/18 4:33:11 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 4:33:14 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:33:25 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 4:34:24 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 4:34:25 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 4:34:55 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 4:35:19 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/18 4:36:49 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested
2017/10/18 4:38:36 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 4:38:56 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:39:04 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 4:39:21 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 4:40:53 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:41:16 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 4:41:43 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 4:44:54 PM MDT,Not interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/18 4:45:32 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 4:46:21 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 4:47:17 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 4:47:37 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 4:48:42 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 4:48:53 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Not interested,Not interested
2017/10/18 4:52:27 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 4:55:20 PM MDT,Not interested,Not interested,Not interested,Very interested,Not interested,Not interested
2017/10/18 4:55:22 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 4:57:13 PM MDT,,Very interested,,,,Very interested
2017/10/18 4:58:33 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/18 4:58:37 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 4:59:57 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 5:00:33 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 5:01:27 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 5:02:24 PM MDT,Very interested,Not interested,Somewhat interested,Very interested,Not interested,Not interested
2017/10/18 5:03:44 PM MDT,Very interested,,Very interested,Very interested,Very interested,Somewhat interested
2017/10/18 5:03:56 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested
2017/10/18 5:06:01 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 5:06:37 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 5:07:17 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 5:07:57 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested
2017/10/18 5:08:06 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 5:09:24 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 5:11:29 PM MDT,Somewhat interested,Not interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 5:11:34 PM MDT,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 5:15:49 PM MDT,Very interested,Very interested,Not interested,Not interested,Not interested,Somewhat interested
2017/10/18 5:17:15 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/18 5:17:21 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 5:17:35 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 5:17:35 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 5:17:37 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 5:18:36 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 5:19:05 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 5:19:39 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Very interested,Very interested
2017/10/18 5:21:20 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 5:22:20 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 5:22:35 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 5:22:44 PM MDT,Very interested,,Very interested,,,Very interested
2017/10/18 5:23:14 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 5:23:16 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 5:25:55 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,,Very interested
2017/10/18 5:26:21 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 5:29:38 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 5:31:34 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 5:31:43 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 5:31:48 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 5:31:50 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 5:32:06 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 5:33:16 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 5:36:21 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 5:39:09 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 5:39:31 PM MDT,Very interested,Very interested,Very interested,Very interested,,Very interested
2017/10/18 5:39:36 PM MDT,Very interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 5:40:13 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 5:40:25 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 5:41:27 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 5:42:18 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Somewhat interested,Very interested
2017/10/18 5:43:02 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/18 5:43:57 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 5:44:15 PM MDT,Very interested,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 5:44:31 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 5:44:44 PM MDT,Very interested,Very interested,Somewhat interested,Somewhat interested,Not interested,Very interested
2017/10/18 5:45:08 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested
2017/10/18 5:45:55 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 5:46:16 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 5:48:57 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
2017/10/18 5:49:36 PM MDT,Not interested,Somewhat interested,Very interested,Somewhat interested,Not interested,Not interested
2017/10/18 5:55:13 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 5:57:02 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 5:58:18 PM MDT,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 6:01:00 PM MDT,Not interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 6:01:32 PM MDT,Not interested,Somewhat interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 6:02:07 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 6:02:24 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 6:07:00 PM MDT,Not interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,Somewhat interested
2017/10/18 6:07:07 PM MDT,Very interested,,Very interested,Very interested,Not interested,Very interested
2017/10/18 6:07:43 PM MDT,Somewhat interested,Very interested,Very interested,Not interested,Very interested,Very interested
2017/10/18 6:07:54 PM MDT,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 6:10:13 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 6:11:10 PM MDT,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Very interested
2017/10/18 6:11:12 PM MDT,Somewhat interested,Somewhat interested,Not interested,Not interested,Not interested,Very interested
2017/10/18 6:12:08 PM MDT,Somewhat interested,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Very interested
2017/10/18 6:15:25 PM MDT,Somewhat interested,Very interested,Somewhat interested,Very interested,Not interested,Very interested
2017/10/18 6:15:39 PM MDT,Somewhat interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 6:16:09 PM MDT,Very interested,Somewhat interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 6:16:30 PM MDT,Very interested,Very interested,Very interested,Very interested,Very interested,Very interested
2017/10/18 6:17:44 PM MDT,Very interested,Not interested,Very interested,Very interested,Somewhat interested,Somewhat interested
2017/10/18 6:21:31 PM MDT,Very interested,Very interested,Very interested,Very interested,Not interested,Very interested
2017/10/18 6:22:31 PM MDT,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested
2017/10/18 6:24:27 PM MDT,Very interested,Very interested,Very interested,Somewhat interested,Not interested,Very interested
